502.83,437.96,478.11,585.8,668.96
761.39,654.79,690.91,816.84,1039.2
910.21,726.01,836.86,1093.5,1327.6
659.98,627.07,667.26,794.16,1030.9
1146.4,800.98,932.36,1263.1,1485.3
646.24,504.59,617.96,822.17,876.5
844.2,667.59,742.05,1001.4,1235.4
719.68,632.59,681.97,840.64,1038.3
683,608.48,646.89,794.73,1009.7
820.45,648.07,708.14,906.42,1113.9
614.18,533.24,599.88,771.85,885.47
643.23,496.14,596.52,792.72,879.26
739,596.87,700.84,906.93,1035.9
589.97,471.52,522.78,645.2,785.02
526.39,429.32,471.58,583.59,739.94
716.09,599.46,652.42,838.28,1009.9
802.89,640.55,706.45,932.19,1149.9
795.99,595.77,679.11,873.44,1066.5
900.74,662.51,743.3,1010.9,1187.9
412.41,343.44,386.37,497.46,554.9
755.17,628.74,731.97,998.27,1102.8
557.92,511.45,597.39,793.31,835.34
702.7,595.84,682.38,906.59,1068.8
594.54,467.66,523.68,682.8,842.88
830.92,646.32,741.53,1028.3,1187
580.1,506.19,558.06,707.99,815.88
403.57,353.73,393.66,498.48,618.05
647.44,545.17,636.64,813.41,970.74
553.85,416.6,508.26,681.16,792.33
370.83,291.1,357.32,476.24,543.83
571.66,477.54,553.36,721.56,842.48
731.15,544.12,663.72,885.42,1000
659.25,562.34,656.35,851.76,963.53
692.01,558.92,624.41,797.05,995.82
546.43,470.19,539.14,701.01,807.69
510.77,456.83,535.21,700.5,794.88
698.01,602.15,690.39,853.3,962.67
647.56,534.58,623.61,813.04,930.09
620.14,514.2,572.9,731.76,892.62
641.98,551.96,577.54,719.01,929.76
678.06,591.66,658.47,827.85,990.63
586.79,475.47,548.24,696.97,830.49
758.5,664.06,719.88,881.43,1050.6
600.64,499.12,574.47,755.71,867.19
718.99,572.94,667.61,858.99,1005.3
738.84,544.06,628.51,795.36,964.26
686.44,553.83,656.25,846.4,959.21
857.76,675.22,770.82,995.08,1203.3
591.68,485.31,570.57,749.32,909.13
549.93,429.1,476.04,613.12,766.7
643.43,508.69,589.82,791.79,975.54
631.66,477,583.2,790.67,911.39
744.1,618.81,683.45,858.18,1074.5
635.22,475.32,590.31,819.79,943.37
636.65,521.69,588.77,737.77,885.34
487.99,364.05,431.62,575.76,703.57
521.01,443.92,485.71,611.34,745.08
710.44,567.76,667.63,863.9,1020.9
620.97,525.09,575.55,724.08,894.75
646.23,566.54,624.12,785.45,984.84
858.8,688.18,802.48,1046.7,1166.4
510.92,415.34,466.01,598.98,744.45
709.9,595.54,671.03,834.77,994.31
758.3,637.95,700.54,871.1,1077.9
758.79,587.09,688.92,894.9,1079.5
687.86,575.66,635.53,814.15,1003.4
719.29,600.11,713.64,936.97,1026.3
662.85,527.45,641.44,851.39,904.86
785.45,676.75,750.09,940.74,1116.5
555.97,466.46,558.87,741.82,848.74
747.08,641.33,742.55,969.38,1121.8
538.17,499.64,587.12,756.68,797.72
477.84,432.11,453.47,549.23,686.34
808.19,649.08,761.38,963.43,1135.2
540.58,409.72,496.85,672.02,740.92
810.62,658.24,763.58,959.56,1045.8
611.03,559.16,497.96,574.01,848.38
1059.2,820.4,956.57,1219.4,1369.3
917.46,736.77,839.72,1063.5,1129.8
928.28,743.51,837.77,1086.5,1189.1
734.07,569.21,654.93,844.01,946.5
989.81,817.78,936.56,1192.4,1360.8
515.82,450.86,444.43,554.17,785.34
436.35,391.19,414.08,543.33,668.66
621.29,559.05,593.11,744.59,914.77
538.69,482.71,497.25,617.96,854.56
694.12,574.49,630.71,795.13,969.22
477.98,439.4,430.44,526.68,708.05
886.52,746.12,794.66,982.69,1154.8
575.62,464.86,498.69,631.05,770.22
939.78,752.52,791.98,985.64,1170.4
726.3,585.99,629.19,791.7,994.9
851.31,720.87,913.68,1164.7,1207.2
815.75,642.52,781.66,993.57,1055.7
751.65,646.08,700.84,854.85,1028
554.39,473.17,516.12,640.71,785.92
553.3,436.52,466.1,576.22,708.04
594.95,490.45,549.03,684.26,785.17
521.68,511.43,495.09,583.9,781.06
651.59,497.54,601.16,764.14,763.6
856.62,657.6,767.33,966.83,1066.6
822.43,613.34,753.95,968.18,1023.6
573.66,508.03,512.64,636.16,810.33
667.85,541.26,587.62,754.94,959.84
735.94,650.47,691.15,862.12,1041.8
666.63,566.84,566.65,679.03,895.25
975.01,840.86,918.86,1169.2,1332.3
487.63,393.53,434.54,574.93,641.36
677.32,514.62,469.48,603.51,791.66
701.79,615.25,665.15,846.91,974.28
567.68,447.19,507.89,651.85,715.4
624.74,532.46,600.28,810.16,832.42
844.67,684.67,804.11,1068.9,1106.5
472,362.53,390.39,504.39,545.53
